segment_id,time_to_failure,f0_semitone_mean,f0_semitone_cv,jitter_local_mean,jitter_local_cv,formant1_hz_mean,formant1_hz_cv,formant2_hz_mean,formant2_hz_cv,formant3_hz_mean,formant3_hz_cv,formant1_bandwidth_hz_mean,formant1_bandwidth_hz_cv,shimmer_local_mean,shimmer_local_cv,loudness_db_mean,loudness_db_cv,hnr_db_mean,hnr_db_cv,alpha_ratio_mean,alpha_ratio_cv,hammarberg_index_mean,hammarberg_index_cv,spectral_slope_0_500_mean,spectral_slope_0_500_cv,spectral_slope_500_1500_mean,spectral_slope_500_1500_cv,formant1_relative_energy_mean,formant1_relative_energy_cv,formant2_relative_energy_mean,formant2_relative_energy_cv,formant3_relative_energy_mean,formant3_relative_energy_cv,h1_h2_ratio_mean,h1_h2_ratio_cv,h1_a3_ratio_mean,h1_a3_ratio_cv
0,1.4307972192764282,2.6837430157752347,3.3001284735091176,7.472501212366033,2.785938656809187,340.95439715596046,0.2561679605725897,754.9148888483018,0.11508294665189617,1134.6301892682252,0.08053443615863157,234.57283549119455,0.49519258749405365,20.241898520350023,0.5434869511298567,105.08845870943061,0.03263773066461931,0.3149738151121552,3.5142075711558522,12.126764017139037,4.394470372037464e-16,31.404454414067978,1.131276994007902e-16,-0.0007481793965916051,2.898241190347341e-16,-0.0004589570756193696,2.361844642878141e-16,11318127163112.691,1.0360548081424406,552283492200.634,0.31452281589274705,436274610023.776,0.32522635967673513,1.892666075259643,4.2666721681054405,2.731559346941383,3.7321710202468634
1,1.3914989233016968,2.9102519823525954,3.1430081210539917,7.2924985722893645,3.7230059792853996,336.00580534375734,0.2567422920510306,744.9673333551466,0.12303152532065473,1127.6629675704748,0.08158478777290133,234.27307962065763,0.4852760893608711,21.624514229548556,0.6219704323310411,105.36756155385625,0.038097336303833614,0.187159002461387,5.496209733154538,20.732113642041213,1.7136283063759596e-16,38.73541090042736,0.0,-0.001473933164075073,0.0,-0.00046785852855022104,2.3173718257208676e-16,19597170046666.35,1.030444538963656,671594652838.6418,1.4151813581767543,436803753388.801,0.33248095380936066,3.016340106118325,4.254469964897579,5.1617448841859455,3.205840999644105
2,1.353196144104004,3.2525114378691633,2.9332810748193943,7.647167769417688,3.4343158871575556,325.9203021363219,0.25875145906107344,743.0421591064553,0.1275658679060614,1126.545786243166,0.08152950238900429,221.77617938652784,0.488993584908695,22.01574117513206,0.645281785444319,106.018794315834,0.04221649589574203,0.3775267793722597,3.5258856403443537,23.14363393703274,1.5350716695858683e-16,42.41561203813959,0.0,-0.0015168750833373305,2.859041418493375e-16,-0.0004563844134216211,2.3756336557530225e-16,22829378020782.875,0.9583133245709128,574615032595.6733,0.43521237268275026,404488867680.9649,0.3361473899469957,3.498763802313661,3.97928211861263,7.621089466176736,2.9153390854287853
3,1.3137978315353394,2.860493524878704,3.133074500328586,8.123617518941856,3.0383434336648714,337.13682766190857,0.25736181364813054,751.9766369441336,0.12378644882916205,1138.1554267591348,0.08324283722247001,232.9331953297571,0.47885470702243055,21.60266419692709,0.592764194255061,105.47246723050674,0.03889413904178094,0.13288005123303542,5.82621879089582,22.85777587596806,0.0,42.81265382377625,0.0,-0.0016491508046399294,3.9445834890359556e-16,-0.00047042910980028233,2.304708934669871e-16,18212670987973.125,1.0073081737638199,684611905748.3722,0.3340413175761224,398321611755.8684,0.34443544128113224,2.80449562027936,4.449103060169155,5.336876864292315,3.0602518474823146
4,1.2743995189666748,2.0446781747114406,3.685819928005361,10.800120643426352,3.240490991529655,338.90274105636826,0.2705730661244086,749.8383030086267,0.12459855701309402,1136.9755944780447,0.08246958328777743,236.78920075517397,0.4637134141995838,23.580613759032378,0.6613962121391032,105.58835454973833,0.042467601381900186,0.23423323550990857,4.028176174137271,26.10770674856347,3.142612591084043e-18,45.71710505485406,3.1084327623437635e-16,-0.001843148859328788,0.0,-0.00045637219751260634,1.1878486226755254e-16,14469677945281.38,0.9219711264807964,662012441238.0673,0.38924857970562515,400484035585.57196,0.26873133168223656,1.1837387929407577,5.1309079379526725,5.956512163952694,3.254844870474001
5,1.236096739768982,2.55986096941858,3.382786034441077,7.965463454728366,2.761957817968178,337.8296011704331,0.2559229442848858,748.4093784176926,0.12526570024947475,1136.2311282575165,0.08116201167848791,232.64098089449107,0.4628941137296609,22.327438722899764,0.6153493583975926,105.30315973855534,0.03436104677071317,0.19581197872538367,4.45262223911827,13.829665737959761,1.2844539217780905e-16,33.22705502749472,2.1384463208434822e-16,-0.0005033151596713558,4.308243658678765e-16,-0.00045963140945395984,1.1794256769500719e-16,13826929322892.672,1.03306717079997,576281917037.4194,0.30116338998092573,389583002565.2513,0.2952481848036886,1.9395372765294718,4.435745363115794,4.096357128191072,3.595391683424358
6,1.1967984437942505,3.034357573784502,3.076685934600323,7.19875830731896,3.3668767736795258,336.8141121375406,0.2542271438078258,749.8806617162195,0.12239778285893974,1134.0326776244087,0.08086496374911169,225.46728997473403,0.4872510451523869,22.88238572242957,0.6211238553810275,105.56048375513103,0.03757004787871064,0.33771619774952194,3.65059809379991,15.31062857662383,1.1602115683952916e-16,34.30458175419187,0.0,-0.0005521234552271763,1.963695188496202e-16,-0.00046356415812818705,1.1694197593525939e-16,16065754897625.803,0.9950283656928052,570612419590.3262,0.3343985575009082,369279151707.9156,0.33024647277094005,2.5799197859676584,4.074958906112225,4.825737929204155,3.507062390808211
7,1.1584956645965576,1.8822911617495646,3.9066595806307833,12.229659401676011,3.162917985328306,345.49321037351876,0.2430489799985934,754.5657518961485,0.12018560282445327,1137.9505814703068,0.08121969057298448,242.27756424340294,0.4570760437192906,22.261895058006008,0.6474460682118094,104.92779432596484,0.03651741805281888,0.1978532294146679,4.96443802112778,16.155313837679667,4.398198282616297e-16,32.69922999210972,4.3459294664220117e-16,-0.0009667455518682558,2.2429938682216045e-16,-0.0004598269902432892,2.3573764336649788e-16,15916399508324.72,1.035630820252427,634659156315.8937,1.7807722455606367,435375861156.03516,0.26139567185614015,1.6498983753275926,5.698742864657893,2.9800887744451057,3.9885458505258407
8,1.119097352027893,3.363244989992626,2.8583589687834055,6.459082508330842,2.809245723481167,317.1453199614692,0.24379163110301255,733.6279231485136,0.12446319037636658,1121.4591962599784,0.07895544484731548,212.4368813825524,0.5166818333300734,24.65237594226924,0.6123737128621666,106.31448209732653,0.04297853126553113,0.30773597988163365,3.9670140088981243,29.626585601659894,4.796656255389014e-16,47.65870608072908,1.4908980838810686e-16,-0.0012285184640337926,1.7650563735535057e-16,-0.00045682933261340195,1.1866599789937584e-16,42603324927010.85,0.9389257265803219,634746857564.5563,2.234537057851624,392043404071.57074,0.3569663790265617,5.654082506647838,4.09480799411522,9.630213720939736,3.2168314084065894
9,1.0796990394592285,2.9041786405240915,3.1408892304022373,7.408032406928177,3.4340738956578503,328.32276106331796,0.260095408506234,736.6632509526295,0.1353877146933918,1123.9901186722586,0.0799175035543287,227.25699557489565,0.5295322558177292,22.14961362869682,0.6289328757589291,105.85714616813001,0.040903436630676,0.24195718209175132,3.9572143513888483,22.795821149753163,3.116986798116698e-16,41.030637886375516,1.7317369954807368e-16,-0.001297753633263288,0.0,-0.000458707952639209,3.5454001819048584e-16,25110842806152.09,0.9346818924327264,628498405357.5198,0.43654410910374936,459124002698.42773,0.3559539763298059,3.266804652885498,4.096728566268944,5.048983404488928,3.1812359281112736
10,1.0413962602615356,1.9608346247977937,3.6915974572386516,10.829902341641683,2.393648350592127,337.04631405631557,0.25247196113507203,746.2404097647866,0.12144213888180536,1130.7123626318817,0.08062637499166363,232.73630894603153,0.4886113926715242,22.98595064099653,0.6138170581122434,105.35557966024611,0.0369621065555949,0.10842193180590814,6.712458525613357,18.067643218703072,0.0,35.39432765744149,0.0,-0.0014739119396408628,0.0,-0.0004655395549234102,0.0,12102220272787.87,0.8564595729497805,603705599028.5305,0.5116646676064115,431206825261.0266,0.28320084028845904,0.7441598515360949,5.98147125821457,2.61877536182854,3.291921692580718
